player,I,O,M,R,W,Best,3w/5w,Avg,E/R,S/R
Away-bevan,22,117.2,1,648,10,3/36 v PAK,1 / 0,64.8,5.52,70.4
Home-bevan,29,147.2,1,693,20,3/36 v PAK,1 / 0,34.65,4.7,44.2
Neutral-bevan,16,63,2,314,6,2/9 v ENG,0 / 0,52.33,4.98,63
Total-bevan,67,327.4,4,1655,36,3/3 v PAK,2/0,50.59,5.07,59.2
Neutral-viv,48,334.2,8,1538,34,3/27 v SL,4 / 0,45.23,4.6,59
Home-viv,19,141,8,590,17,4/42 v IND,2 / 0,34.7,4.18,49.76
Away-viv,64,349,10,2100,67,6/41 v IND,4 / 2,31.34,4.51,41.67
Total-viv,131,824.2,26,4228,118,6/6 v IND,10/2,37.09,4.43,50.14
Away-sachin,77,346,9,1836,32,4/34 v WI,1 / 0,57.37,5.3,64.87
Neutral-sachin,96,473.4,4,2298,56,4/34 v WI,4 / 0,41.03,4.85,50.75
Home-sachin,97,522.4,11,2716,66,5/32 v AUS,3 / 2,41.15,5.19,47.51
Total-sachin,270,1341.8,24,6850,154,5/5 v AUS,8/2,46.52,5.11,54.38
Away-ricky,2,5,0,23,0,0/2 v SL,0 / 0,-,4.6,-
Home-ricky,3,20,0,81,3,1/12 v ZIM,0 / 0,27,4.05,40
Total-ricky,5,25,0,104,3,1/1 v ZIM,0/0,13.5,4.33,20
Away-lara,1,2.1,0,12,2,2/5 v ENG,0 / 0,6,5.53,6.5
Home-lara,3,4,0,32,2,2/5 v ENG,0 / 0,16,8,12
Neutral-lara,1,2,0,17,0,0/12 v ENG,0 / 0,-,8.5,-
Total-lara,5,8.1,0,61,4,2/2 v ENG,0/0,7.33,7.34,6.17